osm_type,osm_id,name,category,lat,lon,occurrence_count,tag_addr:block,tag_addr:block_number,tag_addr:blocknumber,tag_addr:city,tag_addr:country,tag_addr:county,tag_addr:district,tag_addr:district:en,tag_addr:flats,tag_addr:floor,tag_addr:full,tag_addr:hamlet,tag_addr:housename,tag_addr:housenumber,tag_addr:housenumber_1,tag_addr:housing_estate,tag_addr:interpolation,tag_addr:kecamatan,tag_addr:kelurahan,tag_addr:km,tag_addr:level,tag_addr:neighborhood,tag_addr:neighbourhood,tag_addr:nib,tag_addr:parentstreet,tag_addr:place,tag_addr:plot,tag_addr:postcode,tag_addr:province,tag_addr:region,tag_addr:rt,tag_addr:rw,tag_addr:state,tag_addr:street,tag_addr:street:prefix,tag_addr:subdistrict,tag_addr:suburb,tag_addr:town,tag_addr:unit,tag_addr:village,tag_addr:ward
node,4979266363,34.11506,fuel,-6.1772565,106.75753080000001,1,,,,DKI Jakarta,,,,,,,Jalan Kedoya Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4978664990,34.11507,fuel,-6.2086047,106.77013430000001,1,,,,DKI Jakarta,,,,,,,Jalan Panjang Arteri Kelapa Dua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4979266364,34.11510,fuel,-6.180008,106.7664233,1,,,,DKI Jakarta,,,,,,,Jalan Panjang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4974492290,34.11511,fuel,-6.1950484,106.7819424,1,,,,DKI Jakarta,,,,,,,Jalan Budi Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5006352161,34.11704,fuel,-6.164141000000001,106.7765603,1,,,,DKI Jakarta,,,,,,,Jalan Daan Mogot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5027538280,34.12204,fuel,-6.2286926000000005,106.77813970000001,1,,,,DKI Jakarta,,,,,,,Jalan Raya Kebayoran Lama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5057790969,34.12213,fuel,-6.259934800000001,106.77685260000001,1,,,,DKI Jakarta,,,,,,,Jalan Ciputat Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4978679985,34.124.11,fuel,-6.2634862,106.78665070000001,1,,,,DKI Jakarta,,,,,,,Jalan Haji Nawi Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5104675988,34.14409,fuel,-6.107234500000001,106.71983420000001,1,,,,DKI Jakarta,,,,,,,Jalan Kapuk Kamal Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5104675989,34.14410,fuel,-6.1340918,106.7511906,1,,,,DKI Jakarta,,,,,,,Jalan Kapuk Kamal Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9277273063,38 Prima Hotel,,-6.2427957,106.8014996,1,,,,"Melawai, Kby. Baru, South Jakarta",,,,,,,,,,23,,,,,,,,,,,,,,12160,,,,,,Jalan Palatehan I,,,,,,,
node,7871337788,3R,clinic,-6.919607,106.95434700000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1342948130,3second,,-6.9059786,107.6163236,1,,,,Bandung,,,,,,,,,,61,,,,,,,,,,,,,,40115,,,,,,Jalan R.E. Martadinata,,,,,,,
node,13926496187,3Store Kopo,,-6.970772500000001,107.5739257,1,,,,Bandung,,,Margahayu,,,,,,,168,,,,,,,,,,,,,,40228,Jawa Barat,,,,,Jalan Kopo Sayati,,,,,,Sayati,
node,7728133687,3sulacoffeebar,cafe,-6.273834900000001,106.97446380000001,1,,,,Bekasi,,,,,,,,,,12,,,,,,,,,,,,,,17147,,,,,,Jalan Boulevard Raya Barat,,,,,,,
node,2747140283,4,,-6.0941713,107.00799470000001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JW,,,,,,,,
node,6936088790,404 Korean Snack Bar,restaurant,-6.2165843,106.8191467,1,,,,Jakarta Selatan,,,,,,,,,,18a,,,,,,,,,,,,,,12950,,,,,,Jalan Profesor Dokter Satrio,,,,,,,
node,6222917286,4848 Express,post_office,-6.1808345000000005,106.837958,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,13614332837,4Fingers Crispy Chicken,fast_food,-6.1736711,106.78321340000001,1,,,,Jakarta Barat,,,Grogol Petamburan,,,,,,,362,,,,,,,,,,,,,,11470,DKI Jakarta,,,,,Jalan Tanjung Duren Barat I,,Tanjung Duren Utara,,,,,
node,11060792741,5.11,,-6.2895633,106.65112500000001,1,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,Jalan BSD Boulevard Utara,,,,,,,
node,4774155799,502,,-6.250881000000001,106.865328,1,,,,DKI Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4234972933,58 Guest House,,-6.2747766,106.7450407,1,,,,South Tangerang,,,,,,,,,,"Blok G, Bintaro Jaya Sektor III",,,,,,,,,,,,,,15412,,,,,,"Jalan Wr. Supratman Kav. 56,",,,,,,,
node,7902306685,68 Ground,cafe,-6.9186122,106.93664140000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11997978070,7 Glow Clinic,clinic,-6.581011500000001,106.81238520000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4336472889,70003,theatre,-6.241397500000001,106.8772017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11591489169,78 Car Wash Kinclong,car_wash,-6.3469588,106.70125800000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7123810737,8 Spices,restaurant,-6.2001792,106.7840479,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4328253800,833R Store,cafe,-6.960607400000001,107.5566158,1,,,,"Bandung, Jawa Barat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taman Kopo Indah III,,,,,,,
node,11966313162,89 Cafe,cafe,-6.6095885,106.7982291,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11985307827,9 Ball Cafe & Billiard,cafe,-6.6177527000000005,106.8141313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4160757041,9 Residence,,-6.2531311,106.82645710000001,1,,,,"Mampang, South Jakarta",,,,,,,,,,,,,,,,,,,,,,,,15224,,,,,,"Jl. Mampang Prapatan XVI No.22 ,Pancoran,",,,,,,,
node,13033570834,90 Gourmet,restaurant,-6.9085228,107.6239245,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7424373450,99 CUPS Coffee,cafe,-6.1697167,106.790042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11941590182,A & W,restaurant,-6.55811,106.7711757,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11993047958,A Coffee,cafe,-6.5797319000000005,106.8187541,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12249389252,A Dama Bin Pa Udin,,-7.186925400000001,107.68221620000001,1,,,,,,,,,,,,,,Huntara 6,,,,,,,,,,,,,,,,,,,,Kp. Cihalimun RT 3 RW 5 Desa Cibereum,,,,,,,
node,10586074194,A Fung,restaurant,-6.5758016,106.8381136,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,13140987117,A Fung - Villagio Outlets,restaurant,-6.3246979,107.340776,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6894271886,A Fung Basosapiasli,restaurant,-6.128110100000001,106.65795100000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6237162092,A Tham,,-6.161101100000001,106.80818090000001,1,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,Jalan Ketapang,,,,,,,
node,11986305338,A Twin By Karimata,restaurant,-6.610866100000001,106.8148233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,14007862903,A Wen Seafood,restaurant,-6.1442556,106.7876866,1,,,,Jakarta Barat,,,Grogol Petamburan,,,,,,A Wen Seafood,BB11,,,,,,,,,Jelambar,,,,,11460,DKI Jakarta,,,,,Komplek Taman Harapan Indah,,Jelambar Baru,,,BB11,,
node,13230016183,a&a Warkop,cafe,-6.4240851,106.78296780000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2958007990,A&W,fast_food,-6.922147600000001,106.92891780000001,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1757947232,A&W,restaurant,-6.3424744,106.7249438,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9743897290,A&W Artha Gading,restaurant,-6.146455700000001,106.8913272,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12969308001,A&W Rawamangun,fast_food,-6.194692000000001,106.8914756,1,,,,,,,,,,,,,,85,,,,,,,,,,,,,,13220,,,,,,Jalan Paus,,,,,,,
node,4372744090,A&W Restaurant,fast_food,-6.1482054,106.8304631,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11818172305,A&W Universitas Tarumanagara,restaurant,-6.169393,106.78979140000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4146088390,A&W-HALIM PERDANAKUSUMA,restaurant,-6.2651474,106.88502700000001,1,,,,East Jakarta,,,,,,,,,,No.15,,,,,,,,,,,,,,13650,,,,,,Jl. Protokol Halim Perdana Kusuma,,,,,,,
node,5019537427,A. Kasoem Optical,,-6.9418742,107.66738380000001,1,,,,,,,,,,,,,,31 B,,,,,,,,,,,,,,,,,,,,Venus Raya,,,,,,,
node,3745732439,aa,cafe,-6.7083278,106.852568,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5502259849,Aa Bakery & Cafe,cafe,-6.2490977,106.6722299,1,,,,Tangerang Selatan,,,,,,,,,,Pasar Segar Graha Raya Blok RB1 No.28,,,,,,,,,,,,,,15326,,,,,,Jalan Graha Raya Bintaro,,,,,,,
node,8320296146,AA PRINT/LOKET,,-6.6089754,106.80535590000001,1,,,,Bogor,ID,,,,,,,,,36,,,,,,,,,,,,,,16142,,,,,,Jalan Gardu Tinggi Kebon Jukut,,,,,,,
node,13727955603,aaaa,,-6.3170809000000006,106.8377566,1,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5130623749,AB 11 E,,-6.134398600000001,106.83512950000001,1,,,,DKI Jakarta,,,,,,,Jalan Budi Mulya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5068755487,AB 186,,-6.139179100000001,106.84558050000001,1,,,,DKI Jakarta,,,,,,,Jalan Pademangan I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6956382586,AB Chicken,fast_food,-6.1937395,106.4975033,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,13176663431,Abadi Kuningan,cafe,-6.3165937,106.71624530000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1308709625,Abadijaya,village,-6.3889629,106.85000160000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,13658337101,Abang Express - Pengiriman Internasional,,-6.28132,106.87205990000001,1,,,,,,,,,,,,,,No. 114,,,,,,,,,,,,,,13540,,,,,,Jalan Raya Bogor,,,,,,,
node,13588861373,Abang Ndon,fast_food,-6.916974300000001,107.7074982,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11458345922,Abang Turki,fast_food,-6.2459788000000005,106.79567420000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalan Sungai Sambas Ⅲ,,,,,,,
node,7430511136,Abbalove,place_of_worship,-6.2391341,106.63342030000001,1,,,,Tangerang,,,,,,,,,,No. Bh 10/N,,,,,,,,,,,,,,15810,,,,,,Jalan Kelapa Gading Selatan,,,,,,,
node,5519870722,Abbalove Industri,community_centre,-6.147641200000001,106.83659540000001,1,,,,,,,,,,,,,,10A,,,,,,,,,,,,,,,,,,,,Jalan Industri Raya,,,,,,,
node,13086303853,ABDI,,-6.9373106,107.6227865,1,,,,Bandung,ID,,,,,,,,,142D,,,,,,,,,,,,,,,Jawa Barat,,,,,Jalan Buah Batu,,,,,,,
node,5317479621,Abdullah Tailor,,-6.147096,106.73245440000001,1,,,,"Cengkareng Timur, West Jakarta",,,,,,,,,,,,,,,,,,,,,,,,16431,,,,,,Jalan Masjid Nurul Amal,,,,,,,
node,8961582717,Abdurrahman bin Auf Islamic School,school,-6.5420821,106.7657343,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jl. kayumanis bondol gg cempaka ,,,,,,,
node,14019864401,Abi hafidz house,,-6.879926500000001,107.6646128,1,,,,,,,,,,,,,,16D,,,,,,,,,,,,,,40197,,,,,,Jalan Terusan Padasuka,,,,,,,
node,7204895496,Abi Kebab,restaurant,-6.1690801,106.7784369,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12060277544,ABI TEKNIK JATAYU,,-6.9113036,107.5891287,1,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,Jalan Komodor Udara Supadio,,,,,,,
node,11128036452,ABI Training Center,townhall,-6.6589843,106.8936137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16750,,,,,,Jl. Cijulang,,,,,,,
node,11978299176,Abu Abdullah Cafe & Resto,restaurant,-6.6862741,106.9559732,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,13529699504,Abu Nawwaf,restaurant,-6.3781916,106.95829640000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
