village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot
32.01.01.1011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,CIRIMEKAR,16917,,,,16917,16917,16917,16917,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1011;open_data_jabar:32.01.01.1011;kodepos_dev:32.01.01.1011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:12;open_data_jabar:17360;kodepos_dev:12,2026-08-11
32.01.01.1012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PABUARAN,16916,,,,16916,16916,16916,16916,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1012;open_data_jabar:32.01.01.1012;kodepos_dev:32.01.01.1012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:13;open_data_jabar:17361;kodepos_dev:13,2026-08-11
32.01.01.1013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PABUARAN MEKAR,,16916,corroborated_by_two_sources,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api,16916,,16916,16916,corroborated_candidate,medium,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.,no,,diskominfo:32.01.01.1013;open_data_jabar:32.01.01.1013;kodepos_dev:32.01.01.1013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:14;open_data_jabar:17362;kodepos_dev:14,2026-08-11
32.01.02.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,WANAHERANG,16965,,,,16965,16965,16965,16965,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2001;open_data_jabar:32.01.02.2001;kodepos_dev:32.01.02.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:15;open_data_jabar:17363;kodepos_dev:15,2026-08-11
32.01.02.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,BOJONG KULUR,16969,,,,16969,16969,16969,16969,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2002;open_data_jabar:32.01.02.2002;kodepos_dev:32.01.02.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:16;open_data_jabar:17364;kodepos_dev:16,2026-08-11
32.01.02.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CIANGSANA,16968,,,,16968,16968,16968,16968,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2003;open_data_jabar:32.01.02.2003;kodepos_dev:32.01.02.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:17;open_data_jabar:17365;kodepos_dev:17,2026-08-11
32.01.02.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,GUNUNG PUTRI,16961,,,,16961,16961,16961,16961,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2004;open_data_jabar:32.01.02.2004;kodepos_dev:32.01.02.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:18;open_data_jabar:17366;kodepos_dev:18,2026-08-11
32.01.02.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,BOJONG NANGKA,16963,,,,16963,16963,16963,16963,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2005;open_data_jabar:32.01.02.2005;kodepos_dev:32.01.02.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:19;open_data_jabar:17367;kodepos_dev:19,2026-08-11
32.01.02.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,TLAJUNG UDIK,16962,,,,16962,16962,16962,16962,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2006;open_data_jabar:32.01.02.2006;kodepos_dev:32.01.02.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:20;open_data_jabar:17368;kodepos_dev:20,2026-08-11
32.01.02.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CICADAS,16964,,,,16964,16964,16964,16964,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2007;open_data_jabar:32.01.02.2007;kodepos_dev:32.01.02.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:21;open_data_jabar:17369;kodepos_dev:21,2026-08-11
32.01.02.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CIKEAS UDIK,16966,,,,16966,16966,16966,16966,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2008;open_data_jabar:32.01.02.2008;kodepos_dev:32.01.02.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:22;open_data_jabar:17371;kodepos_dev:22,2026-08-11
32.01.02.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,NAGRAK,16967,,,,16967,16967,16967,16967,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2009;open_data_jabar:32.01.02.2009;kodepos_dev:32.01.02.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:23;open_data_jabar:17372;kodepos_dev:23,2026-08-11
32.01.02.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,KARANGGAN,,16960,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16961,16960,16960,16960;16961,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.02.2010;open_data_jabar:32.01.02.2010;kodepos_dev:32.01.02.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:24;open_data_jabar:17373;kodepos_dev:24,2026-08-11
32.01.03.1006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PUSPANEGARA,,16811,corroborated_by_two_sources,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api,16811,16810,16811,16810;16811,corroborated_candidate,medium,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.,no,,diskominfo:32.01.03.1006;open_data_jabar:32.01.03.1006;kodepos_dev:32.01.03.1006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:30;open_data_jabar:17374;kodepos_dev:25,2026-08-11
32.01.03.1007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,KARANG ASEM BARAT,,,,,16812,16810,16811,16810;16811;16812,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.1007;open_data_jabar:32.01.03.1007;kodepos_dev:32.01.03.1007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:31;open_data_jabar:17375;kodepos_dev:26,2026-08-11
32.01.03.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PUSPASARI,,16811,corroborated_by_two_sources,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api,16811,16810,16811,16810;16811,corroborated_candidate,medium,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.,no,,diskominfo:32.01.03.2001;open_data_jabar:32.01.03.2001;kodepos_dev:32.01.03.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:25;open_data_jabar:17376;kodepos_dev:27,2026-08-11
32.01.03.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,CITEUREUP,,16811,corroborated_by_two_sources,diskominfo_jabar_village_2024_unreviewed;kodepos_dev_rest_api,16811,16810,16811,16810;16811,corroborated_candidate,medium,yes,Kodepos.dev corroborates Diskominfo; candidate is not accepted as final.,no,,diskominfo:32.01.03.2002;open_data_jabar:32.01.03.2002;kodepos_dev:32.01.03.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:26;open_data_jabar:17377;kodepos_dev:28,2026-08-11
32.01.03.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,LEUWINUTUG,,,,,16813,16810,16811,16810;16811;16813,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2003;open_data_jabar:32.01.03.2003;kodepos_dev:32.01.03.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:27;open_data_jabar:17378;kodepos_dev:29,2026-08-11
32.01.03.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TAJUR,,,,,16817,16810,16811,16810;16811;16817,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2004;open_data_jabar:32.01.03.2004;kodepos_dev:32.01.03.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:28;open_data_jabar:17379;kodepos_dev:30,2026-08-11
32.01.03.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,SANJA,,,,,16814,16810,16811,16810;16811;16814,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2005;open_data_jabar:32.01.03.2005;kodepos_dev:32.01.03.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:29;open_data_jabar:17380;kodepos_dev:31,2026-08-11
32.01.03.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,KARANG ASEM TIMUR,,,,,16812,16810,16811,16810;16811;16812,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2008;open_data_jabar:32.01.03.2008;kodepos_dev:32.01.03.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:32;open_data_jabar:17382;kodepos_dev:32,2026-08-11
32.01.03.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TARIKOLOT,,,,,16819,16810,16811,16810;16811;16819,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2009;open_data_jabar:32.01.03.2009;kodepos_dev:32.01.03.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:33;open_data_jabar:17383;kodepos_dev:33,2026-08-11
32.01.03.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,GUNUNGSARI,,,,,16819,16810,16811,16810;16811;16819,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2010;open_data_jabar:32.01.03.2010;kodepos_dev:32.01.03.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:34;open_data_jabar:17384;kodepos_dev:34,2026-08-11
32.01.03.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TANGKIL,,,,,16815,16810,16811,16810;16811;16815,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2011;open_data_jabar:32.01.03.2011;kodepos_dev:32.01.03.2011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:35;open_data_jabar:17385;kodepos_dev:35,2026-08-11
32.01.03.2012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,SUKAHATI,,,,,16814,16810,16811,16810;16811;16814,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2012;open_data_jabar:32.01.03.2012;kodepos_dev:32.01.03.2012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:36;open_data_jabar:17386;kodepos_dev:36,2026-08-11
32.01.03.2013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,HAMBALANG,,,,,16816,16810,16811,16810;16811;16816,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2013;open_data_jabar:32.01.03.2013;kodepos_dev:32.01.03.2013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:37;open_data_jabar:17387;kodepos_dev:37,2026-08-11
32.01.03.2014,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PASIRMUKTI,,,,,16818,16810,16811,16810;16811;16818,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2014;open_data_jabar:32.01.03.2014;kodepos_dev:32.01.03.2014,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:38;open_data_jabar:17388;kodepos_dev:38,2026-08-11
32.01.04.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,GUNUNGGEULIS,,,,,16713,16710,16711,16710;16711;16713,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2001;open_data_jabar:32.01.04.2001;kodepos_dev:32.01.04.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:39;open_data_jabar:17389;kodepos_dev:39,2026-08-11
32.01.04.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CILEBUT TIMUR,,,,,16718,16710,16711,16710;16711;16718,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2002;open_data_jabar:32.01.04.2002;kodepos_dev:32.01.04.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:40;open_data_jabar:17390;kodepos_dev:40,2026-08-11
32.01.04.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CILEBUT BARAT,,,,,16718,16710,16711,16710;16711;16718,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2003;open_data_jabar:32.01.04.2003;kodepos_dev:32.01.04.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:41;open_data_jabar:17391;kodepos_dev:41,2026-08-11
32.01.04.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIBANON,,,,,16712,16710,16711,16710;16711;16712,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2004;open_data_jabar:32.01.04.2004;kodepos_dev:32.01.04.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:42;open_data_jabar:17393;kodepos_dev:42,2026-08-11
32.01.04.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,NAGRAK,,,,,16714,16710,16711,16710;16711;16714,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2005;open_data_jabar:32.01.04.2005;kodepos_dev:32.01.04.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:43;open_data_jabar:17394;kodepos_dev:43,2026-08-11
32.01.04.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,SUKATANI,,,,,16719,16710,16711,16710;16711;16719,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2006;open_data_jabar:32.01.04.2006;kodepos_dev:32.01.04.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:44;open_data_jabar:17395;kodepos_dev:44,2026-08-11
32.01.04.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,SUKARAJA,,,,,16719,38877,16711,16711;16719;38877,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2007;open_data_jabar:32.01.04.2007;kodepos_dev:32.01.04.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:45;open_data_jabar:17396;kodepos_dev:45,2026-08-11
32.01.04.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIKEAS,,,,,16714,16710,16711,16710;16711;16714,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2008;open_data_jabar:32.01.04.2008;kodepos_dev:32.01.04.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:46;open_data_jabar:17397;kodepos_dev:46,2026-08-11
32.01.04.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,PASIR JAMBU,,,,,16717,16710,16711,16710;16711;16717,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2009;open_data_jabar:32.01.04.2009;kodepos_dev:32.01.04.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:47;open_data_jabar:17398;kodepos_dev:47,2026-08-11
32.01.04.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIMANDALA,,,,,16716,16710,16711,16710;16711;16716,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2010;open_data_jabar:32.01.04.2010;kodepos_dev:32.01.04.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:48;open_data_jabar:17399;kodepos_dev:48,2026-08-11
32.01.04.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIJUJUNG,,,,,16716,16710,16711,16710;16711;16716,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2011;open_data_jabar:32.01.04.2011;kodepos_dev:32.01.04.2011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:49;open_data_jabar:17400;kodepos_dev:49,2026-08-11
32.01.04.2012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CADASNGAMPAR,,,,,16714,16710,16711,16710;16711;16714,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2012;open_data_jabar:32.01.04.2012;kodepos_dev:32.01.04.2012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:50;open_data_jabar:17401;kodepos_dev:50,2026-08-11
32.01.04.2013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,PASIRLAJA,,,,,16715,16710,16711,16710;16711;16715,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2013;open_data_jabar:32.01.04.2013;kodepos_dev:32.01.04.2013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:51;open_data_jabar:17402;kodepos_dev:51,2026-08-11
32.01.05.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,CIJAYANTI,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16864,16810,16810,16810;16864,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2001;open_data_jabar:32.01.05.2001;kodepos_dev:32.01.05.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:52;open_data_jabar:17404;kodepos_dev:52,2026-08-11
32.01.05.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,SUMURBATU,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16866,16810,16810,16810;16866,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2002;open_data_jabar:32.01.05.2002;kodepos_dev:32.01.05.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:53;open_data_jabar:17405;kodepos_dev:53,2026-08-11
