district_cluster_id,city_code,city_name,district_code,district_name,unresolved_pattern,row_count,triplet_cluster_count,diskominfo_postal_values,open_data_jabar_postal_values,kodepos_dev_postal_values,example_village_codes,example_village_names
DIST-086DE8A0591D,32.01,KAB. BOGOR,32.01.25,CISARUA,all_three_different,1,1,16759,45355,16750,32.01.25.1010,CISARUA
DIST-031F8BB73019,32.01,KAB. BOGOR,32.01.27,CARINGIN,all_three_different,1,1,16732,44166,16730,32.01.27.2004,CARINGIN
DIST-2987E524303E,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,all_three_different,1,1,16877,16878,16710,32.01.32.2002,BOJONG
DIST-2D22A8E76FAF,32.02,KAB. SUKABUMI,32.02.17,CIDAHU,all_three_different,1,1,43372,45595,43358,32.02.17.2004,CIDAHU
DIST-3625E773620A,32.02,KAB. SUKABUMI,32.02.20,WALURAN,all_three_different,1,1,43363,43375,43175,32.02.20.2005,MANGUNJAYA
DIST-1ED8DAABC796,32.02,KAB. SUKABUMI,32.02.22,CIEMAS,all_three_different,1,1,43347,43377,43177,32.02.22.2008,SIDAMULYA
DIST-A57BED56330B,32.02,KAB. SUKABUMI,32.02.23,KALIBUNDER,all_three_different,1,1,43261,43385,43185,32.02.23.2007,MEKARWANGI
DIST-2409AFAFA960,32.02,KAB. SUKABUMI,32.02.31,CARINGIN,all_three_different,1,1,43397,43344,43154,32.02.31.2009,PASIR DATAR INDAH
DIST-29E0DAFFC9B2,32.02,KAB. SUKABUMI,32.02.33,SUKARAJA,all_three_different,1,1,43392,38877,43192,32.02.33.2004,SUKARAJA
DIST-31AAEE977072,32.02,KAB. SUKABUMI,32.02.42,CURUGKEMBAR,open_data_jabar_missing_api_diskominfo_different,1,1,43382,,43182,32.02.42.2006,NAGRAKJAYA
DIST-457BA367A1F3,32.02,KAB. SUKABUMI,32.02.43,CIDOLOG,all_three_different,1,1,43384,46352,43184,32.02.43.2001,CIDOLOG
DIST-BD5DC73D23BE,32.02,KAB. SUKABUMI,32.02.46,CIMANGGU,all_three_different,1,1,43347,42284,43178,32.02.46.2001,CIMANGGU
DIST-EF9F4D184FC1,32.02,KAB. SUKABUMI,32.02.47,CIAMBAR,all_three_different,1,1,43391,43352,43356,32.02.47.2003,WANGUNJAYA
DIST-592242AA3C66,32.03,KAB. CIANJUR,32.03.25,CAMPAKAMULYA,all_three_different,1,1,43278,43277,43269,32.03.25.2003,SUKASIRNA
DIST-F2254CC30AB5,32.03,KAB. CIANJUR,32.03.28,CIPANAS,all_three_different,1,1,43255,42372,43253,32.03.28.2001,CIPANAS
DIST-2905CE6E72AA,32.03,KAB. CIANJUR,32.03.31,HAURWANGI,open_data_jabar_missing_api_diskominfo_different,1,1,43286,,43280,32.03.31.2004,MEKARWANGI/SUKATANI
DIST-059DE04F4CDC,32.04,KAB. BANDUNG,32.04.13,BANJARAN,all_three_different,1,1,21156,45468,40377,32.04.13.2003,BANJARAN KULON
DIST-7916A8F1F75C,32.06,KAB. TASIKMALAYA,32.06.21,KARANG JAYA,all_three_different,1,1,46483,46499,46199,32.06.21.2001,SIRNAJAYA
DIST-AE51F1E71F87,32.06,KAB. TASIKMALAYA,32.06.23,GUNUNG TANJUNG,all_three_different,1,1,46496,46492,46418,32.06.23.2005,TANJUNGSARI
DIST-1E75E40AA7AB,32.08,KAB. KUNINGAN,32.08.09,KUNINGAN,open_data_jabar_missing_api_diskominfo_different,1,1,45521,,45553,32.08.09.2015,KASTURI
DIST-FD8A702CF9FF,32.14,KAB. PURWAKARTA,32.14.02,CAMPAKA,all_three_different,1,1,41181,43263,41180,32.14.02.2001,CAMPAKA
