village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot,unresolved_pattern
32.01.32.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,KEMBANG KUNING,,,,,16872,16872,16710,16710;16872,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2006;open_data_jabar:32.01.32.2006;kodepos_dev:32.01.32.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:364;open_data_jabar:17750;kodepos_dev:364,2026-08-11,government_sources_agree_api_differs
32.01.32.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,BANTAR JATI,,,,,16874,16874,16710,16710;16874,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2007;open_data_jabar:32.01.32.2007;kodepos_dev:32.01.32.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:365;open_data_jabar:17751;kodepos_dev:365,2026-08-11,government_sources_agree_api_differs
32.01.32.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,LEUWIKARET,,,,,16876,16876,16710,16710;16876,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2008;open_data_jabar:32.01.32.2008;kodepos_dev:32.01.32.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:366;open_data_jabar:17752;kodepos_dev:366,2026-08-11,government_sources_agree_api_differs
32.01.32.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,LIGARMUKTI,,,,,16879,16879,16710,16710;16879,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2009;open_data_jabar:32.01.32.2009;kodepos_dev:32.01.32.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:367;open_data_jabar:17753;kodepos_dev:367,2026-08-11,government_sources_agree_api_differs
32.01.33.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.33,CISEENG,CIHOE,,,,,16389,16389,16120,16120;16389,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.33.2008;open_data_jabar:32.01.33.2008;kodepos_dev:32.01.33.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:375;open_data_jabar:17762;kodepos_dev:375,2026-08-11,government_sources_agree_api_differs
32.01.34.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.34,RANCA BUNGUR,BANTARJAYA,,,,,16253,16253,16311,16253;16311,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.34.2001;open_data_jabar:32.01.34.2001;kodepos_dev:32.01.34.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:378;open_data_jabar:17765;kodepos_dev:378,2026-08-11,government_sources_agree_api_differs
32.01.34.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.34,RANCA BUNGUR,BANTARSARI,,,,,16254,16254,16311,16254;16311,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.34.2002;open_data_jabar:32.01.34.2002;kodepos_dev:32.01.34.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:379;open_data_jabar:17766;kodepos_dev:379,2026-08-11,government_sources_agree_api_differs
32.01.34.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.34,RANCA BUNGUR,PASIRGAOK,,,,,16252,16252,16311,16252;16311,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.34.2003;open_data_jabar:32.01.34.2003;kodepos_dev:32.01.34.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:380;open_data_jabar:17767;kodepos_dev:380,2026-08-11,government_sources_agree_api_differs
32.01.34.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.34,RANCA BUNGUR,RANCABUNGUR,,,,,16251,16251,16311,16251;16311,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.34.2004;open_data_jabar:32.01.34.2004;kodepos_dev:32.01.34.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:381;open_data_jabar:17768;kodepos_dev:381,2026-08-11,government_sources_agree_api_differs
32.01.34.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.34,RANCA BUNGUR,MEKARSARI,,,,,16256,16256,16311,16256;16311,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.34.2005;open_data_jabar:32.01.34.2005;kodepos_dev:32.01.34.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:382;open_data_jabar:17770;kodepos_dev:382,2026-08-11,government_sources_agree_api_differs
32.01.34.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.34,RANCA BUNGUR,CANDALI,,,,,16255,16255,16311,16255;16311,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.34.2006;open_data_jabar:32.01.34.2006;kodepos_dev:32.01.34.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:383;open_data_jabar:17771;kodepos_dev:383,2026-08-11,government_sources_agree_api_differs
32.01.34.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.34,RANCA BUNGUR,CIMULANG,,,,,16252,16252,16311,16252;16311,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.34.2007;open_data_jabar:32.01.34.2007;kodepos_dev:32.01.34.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:384;open_data_jabar:17772;kodepos_dev:384,2026-08-11,government_sources_agree_api_differs
32.01.35.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.35,SUKAJAYA,SIPAYUNG,,,,,16660,16660,16661,16660;16661,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.35.2004;open_data_jabar:32.01.35.2004;kodepos_dev:32.01.35.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:388;open_data_jabar:17776;kodepos_dev:388,2026-08-11,government_sources_agree_api_differs
32.01.35.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.35,SUKAJAYA,KIARAPANDAK,,,,,16295,16295,16661,16295;16661,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.35.2006;open_data_jabar:32.01.35.2006;kodepos_dev:32.01.35.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:390;open_data_jabar:17778;kodepos_dev:390,2026-08-11,government_sources_agree_api_differs
32.01.36.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.36,TANJUNGSARI,TANJUNGSARI,,,,,16851,16851,16841,16841;16851,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.36.2001;open_data_jabar:32.01.36.2001;kodepos_dev:32.01.36.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:396;open_data_jabar:17787;kodepos_dev:396,2026-08-11,government_sources_agree_api_differs
32.01.36.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.36,TANJUNGSARI,TANJUNGRASA,,,,,16856,16856,16841,16841;16856,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.36.2003;open_data_jabar:32.01.36.2003;kodepos_dev:32.01.36.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:398;open_data_jabar:17789;kodepos_dev:398,2026-08-11,government_sources_agree_api_differs
