id,kode_bps_provinsi,nama_bps_provinsi,kode_kemendagri_provinsi,nama_kemendagri_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,kode_pos,tahun
10945,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020022,BOGAK,12.19.06.2005,BOGAK,21253,2023
10946,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020020,SUKA MAJU,12.19.06.2006,SUKA MAJU,21253,2023
10947,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020029,SUKA JAYA,12.19.06.2016,SUKA JAYA,21253,2023
10948,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020032,PAHLAWAN,12.19.06.2017,PAHLAWAN,21253,2023
10949,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020033,BANDAR RAHMAT,12.19.06.2018,BANDAR RAHMAT,21253,2023
1095,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105101,SUNGAI RAYA,03-11-19,SUNGAI RAYA,1105101011,KRUENG LINGKA,11.03.19.2011,KRUENG LINGKA,24458,2023
10950,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020030,KAMPUNG LALANG,12.19.06.2019,KAMPUNG LALANG,21253,2023
10951,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010008,KWALA SIKASIM,12.19.07.2001,KWALA SIKASIM,21252,2023
10952,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010006,SEI BALAI,12.19.07.2002,SEI BALAI,21252,2023
10953,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010010,DURIAN,12.19.07.2004,DURIAN,21252,2023
10954,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010002,PERKEBUNAN SEI BALAI,12.19.07.2005,PERKEBUNAN SEI BALAI,21252,2023
10955,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010003,SUKA RAMAI,12.19.07.2007,SUKA RAMAI,21252,2023
10956,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010004,SEI BEJANGKAR,12.19.07.2008,SEI BEJANGKAR,21652,2023
10957,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010007,MEKAR MULIO,12.19.07.2009,MEKAR MULIO,21252,2023
10958,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010005,PERKEBUNAN SEI BEJANGKAR,12.19.07.2010,PERKEBUNAN SEI BEJANGKAR,21252,2023
10959,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010013,BENTENG JAYA,12.19.07.2012,BENTENG JAYA,21252,2023
1096,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105101,SUNGAI RAYA,03-11-19,SUNGAI RAYA,1105101004,SUNGAI SIMPANG,11.03.19.2012,SUNGAI SIMPANG,24458,2023
10960,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010014,TANAH TIMBUL,12.19.07.2013,TANAH TIMBUL,21252,2023
10961,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010011,PERJUANGAN,12.19.07.2014,PERJUANGAN,21252,2023
10962,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010015,SIDOMULIO,12.19.07.2015,SIDOMULIO,21252,2023
10963,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010016,MEKAR BARU,12.19.07.2016,MEKAR BARU,21252,2023
10964,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219010,SEI BALAI,19-12-07,SEI BALAI,1219010012,SUKO REJO,12.19.07.2017,SUKO REJO,21252,2023
10965,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061001,TANJUNG PARAPAT,12.19.08.2001,TANJUNG PRAPAT,0,2023
10966,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061002,LAUT TADOR,12.19.08.2002,LAUT TADOR,0,2023
10967,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061007,PELANGGIRAN LAUT TADOR,12.19.08.2003,PELANGGIRAN LAUT TADOR,0,2023
10968,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061003,PERKEBUNAN TANJUNG KASAU,12.19.08.2004,PERKEBUNAN TANJUNG KASAU,0,2023
10969,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061008,DWI SRI,12.19.08.2005,DEWI SRI,0,2023
1097,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105101,SUNGAI RAYA,03-11-19,SUNGAI RAYA,1105101009,KUALA PAREK,11.03.19.2013,KUALA PAREK,24458,2023
10970,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061004,TANJUNG KASAU,12.19.08.2006,TANJUNG KASAU,0,2023
10971,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061005,TANJUNG SERI,12.19.08.2007,TANJUNG SERI,0,2023
10972,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061009,MEKAR SARI,12.19.08.2008,MEKAR SARI,0,2023
10973,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061006,SEI SIMUJUR,12.19.08.2009,SEI SIMUJUR,0,2023
10974,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219061,LAUT TADOR,19-12-08,LAUT TADOR,1219061010,KANDANGAN,12.19.08.2010,KANDANGAN,0,2023
10975,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041005,GAMBUS LAUT,12.19.09.2001,GAMBUS LAUT,0,2023
10976,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041004,PERUPUK,12.19.09.2002,PERUPUK,0,2023
10977,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041001,GUNTUNG,12.19.09.2003,GUNTUNG,0,2023
10978,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041008,BARUNG-BARUNG,12.19.09.2004,BARUNG-BARUNG,0,2023
10979,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041010,TITI PUTIH,12.19.09.2005,TITI PUTIH,0,2023
1098,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105081,SIMPANG JERNIH,03-11-20,SIMPANG JERNIH,1105081006,SIMPANG JERNIH,11.03.20.2001,SIMPANG JERNIH,24458,2023
10980,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041009,PASIR PERMIT,12.19.09.2006,PASIR PERMIT,0,2023
10981,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041012,TITI MERAH,12.19.09.2007,TITI MERAH,0,2023
10982,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041002,PEMATANG PANJANG,12.19.09.2008,PEMATANG PANJANG,0,2023
10983,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041003,BULAN BULAN,12.19.09.2009,BULAN-BULAN,0,2023
10984,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041011,GUNUNG BANDUNG,12.19.09.2010,GUNUNG BANDUNG,0,2023
10985,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219041,LIMA PULUH PESISIR,19-12-09,LIMA PULUH PESISIR,1219041006,LUBUK CUIK,12.19.09.2011,LUBUK CUIK,0,2023
