village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot,review_case_type,suggested_postal_code,suggestion_basis,unresolved_pattern,district_cluster_id,triplet_cluster_id,affected_rows_if_same_pattern,existing_pos_observation,existing_pos_match,existing_pos_evidence_url,reviewer,review_status,review_decision,reviewed_postal_code,evidence_source_name,evidence_url,evidence_checked_at,evidence_scope,review_notes,second_reviewer,second_review_status
32.01.17.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,GUNUNGBUNDER II,,,,,16697,16697,16812,16697;16812,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.17.2005;open_data_jabar:32.01.17.2005;kodepos_dev:32.01.17.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:187;open_data_jabar:17553;kodepos_dev:187,2026-08-11,local_government_consensus_api_conflict,16697,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.17.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,GUNUNGBUNDER I,,,,,16810,16810,16812,16810;16812,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.17.2010;open_data_jabar:32.01.17.2010;kodepos_dev:32.01.17.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:192;open_data_jabar:17560;kodepos_dev:192,2026-08-11,local_government_consensus_api_conflict,16810,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.18.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.18,RUMPIN,TAMANSARI,,,,,16352,16352,16350,16350;16352,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.18.2010;open_data_jabar:32.01.18.2010;kodepos_dev:32.01.18.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:207;open_data_jabar:17576;kodepos_dev:207,2026-08-11,local_government_consensus_api_conflict,16352,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.18.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.18,RUMPIN,KERTAJAYA,,,,,16353,16353,16350,16350;16353,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.18.2011;open_data_jabar:32.01.18.2011;kodepos_dev:32.01.18.2011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:208;open_data_jabar:17577;kodepos_dev:208,2026-08-11,local_government_consensus_api_conflict,16353,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.18.2013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.18,RUMPIN,MEKARSARI,,,,,16354,16354,16350,16350;16354,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.18.2013;open_data_jabar:32.01.18.2013;kodepos_dev:32.01.18.2013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:210;open_data_jabar:17579;kodepos_dev:210,2026-08-11,local_government_consensus_api_conflict,16354,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.19.2014,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.19,JASINGA,TEGALWANGI,,,,,16672,16672,16670,16670;16672,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.19.2014;open_data_jabar:32.01.19.2014;kodepos_dev:32.01.19.2014,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:225;open_data_jabar:17596;kodepos_dev:225,2026-08-11,local_government_consensus_api_conflict,16672,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.19.2016,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.19,JASINGA,WIRAJAYA,,,,,16673,16673,16670,16670;16673,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.19.2016;open_data_jabar:32.01.19.2016;kodepos_dev:32.01.19.2016,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:227;open_data_jabar:17598;kodepos_dev:227,2026-08-11,local_government_consensus_api_conflict,16673,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.20.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.20,PARUNG PANJANG,PARUNGPANJANG,,,,,16361,16361,16360,16360;16361,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.20.2006;open_data_jabar:32.01.20.2006;kodepos_dev:32.01.20.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:233;open_data_jabar:17605;kodepos_dev:233,2026-08-11,local_government_consensus_api_conflict,16361,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.22.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.22,CIGUDEG,BANYURESMI,,,,,16664,16664,16660,16660;16664,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.22.2004;open_data_jabar:32.01.22.2004;kodepos_dev:32.01.22.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:253;open_data_jabar:17627;kodepos_dev:253,2026-08-11,local_government_consensus_api_conflict,16664,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.22.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.22,CIGUDEG,BATUJAJAR,,,,,16667,16667,16660,16660;16667,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.22.2009;open_data_jabar:32.01.22.2009;kodepos_dev:32.01.22.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:258;open_data_jabar:17632;kodepos_dev:258,2026-08-11,local_government_consensus_api_conflict,16667,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.22.2012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.22,CIGUDEG,BANYUWANGI,,,,,16664,16664,16660,16660;16664,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.22.2012;open_data_jabar:32.01.22.2012;kodepos_dev:32.01.22.2012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:261;open_data_jabar:17635;kodepos_dev:261,2026-08-11,local_government_consensus_api_conflict,16664,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.22.2013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.22,CIGUDEG,BANYUASIH,,,,,16664,16664,16660,16660;16664,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.22.2013;open_data_jabar:32.01.22.2013;kodepos_dev:32.01.22.2013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:262;open_data_jabar:17637;kodepos_dev:262,2026-08-11,local_government_consensus_api_conflict,16664,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.26.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.26,MEGAMENDUNG,CIPAYUNG DATAR,,,,,16772,16772,16770,16770;16772,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.26.2006;open_data_jabar:32.01.26.2006;kodepos_dev:32.01.26.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:302;open_data_jabar:17682;kodepos_dev:302,2026-08-11,local_government_consensus_api_conflict,16772,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.27.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.27,CARINGIN,MUARA JAYA,,,,,16739,16739,16730,16730;16739,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.27.2009;open_data_jabar:32.01.27.2009;kodepos_dev:32.01.27.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:317;open_data_jabar:17698;kodepos_dev:317,2026-08-11,local_government_consensus_api_conflict,16739,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.30.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.30,DRAMAGA,SINARSARI,,,,,16682,16682,16680,16680;16682,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.30.2003;open_data_jabar:32.01.30.2003;kodepos_dev:32.01.30.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:343;open_data_jabar:17727;kodepos_dev:343,2026-08-11,local_government_consensus_api_conflict,16682,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.31.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.31,TAMANSARI,SIRNAGALIH,,,,,16610,16610,16611,16610;16611,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.31.2002;open_data_jabar:32.01.31.2002;kodepos_dev:32.01.31.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:352;open_data_jabar:17737;kodepos_dev:352,2026-08-11,local_government_consensus_api_conflict,16610,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.31.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.31,TAMANSARI,PASIREURIH,,,,,16267,16267,16611,16267;16611,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.31.2003;open_data_jabar:32.01.31.2003;kodepos_dev:32.01.31.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:353;open_data_jabar:17738;kodepos_dev:353,2026-08-11,local_government_consensus_api_conflict,16267,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.31.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.31,TAMANSARI,TAMANSARI,,,,,16261,16261,16611,16261;16611,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.31.2004;open_data_jabar:32.01.31.2004;kodepos_dev:32.01.31.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:354;open_data_jabar:17739;kodepos_dev:354,2026-08-11,local_government_consensus_api_conflict,16261,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.32.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,KLAPANUNGGAL,,,,,16871,16871,16710,16710;16871,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2001;open_data_jabar:32.01.32.2001;kodepos_dev:32.01.32.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:359;open_data_jabar:17744;kodepos_dev:359,2026-08-11,local_government_consensus_api_conflict,16871,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.32.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,NAMBO,,,,,16873,16873,16710,16710;16873,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2003;open_data_jabar:32.01.32.2003;kodepos_dev:32.01.32.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:361;open_data_jabar:17746;kodepos_dev:361,2026-08-11,local_government_consensus_api_conflict,16873,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.32.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,LULUT,,,,,16875,16875,16710,16710;16875,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2004;open_data_jabar:32.01.32.2004;kodepos_dev:32.01.32.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:362;open_data_jabar:17748;kodepos_dev:362,2026-08-11,local_government_consensus_api_conflict,16875,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.32.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,CIKAHURIPAN,,,,,16877,16877,16710,16710;16877,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2005;open_data_jabar:32.01.32.2005;kodepos_dev:32.01.32.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:363;open_data_jabar:17749;kodepos_dev:363,2026-08-11,local_government_consensus_api_conflict,16877,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.32.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,KEMBANG KUNING,,,,,16872,16872,16710,16710;16872,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2006;open_data_jabar:32.01.32.2006;kodepos_dev:32.01.32.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:364;open_data_jabar:17750;kodepos_dev:364,2026-08-11,local_government_consensus_api_conflict,16872,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.32.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,BANTAR JATI,,,,,16874,16874,16710,16710;16874,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2007;open_data_jabar:32.01.32.2007;kodepos_dev:32.01.32.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:365;open_data_jabar:17751;kodepos_dev:365,2026-08-11,local_government_consensus_api_conflict,16874,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.32.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,LEUWIKARET,,,,,16876,16876,16710,16710;16876,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2008;open_data_jabar:32.01.32.2008;kodepos_dev:32.01.32.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:366;open_data_jabar:17752;kodepos_dev:366,2026-08-11,local_government_consensus_api_conflict,16876,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.32.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.32,KLAPANUNGGAL,LIGARMUKTI,,,,,16879,16879,16710,16710;16879,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.32.2009;open_data_jabar:32.01.32.2009;kodepos_dev:32.01.32.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:367;open_data_jabar:17753;kodepos_dev:367,2026-08-11,local_government_consensus_api_conflict,16879,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
32.01.33.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.33,CISEENG,CIHOE,,,,,16389,16389,16120,16120;16389,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.33.2008;open_data_jabar:32.01.33.2008;kodepos_dev:32.01.33.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:375;open_data_jabar:17762;kodepos_dev:375,2026-08-11,local_government_consensus_api_conflict,16389,Diskominfo and Open Data Jabar agree; Kodepos.dev differs.,government_sources_agree_api_differs,,,1,,,,,pending,,,,,,,,,not_started
